index,Consignatario,Origen,Cntr 20,Cntr 40,Flete,Categoria,Origen_ALEMANIA,Origen_BRASIL,Origen_CANADA,Origen_CHILE,Origen_CHINA,Origen_COLOMBIA,Origen_COSTA RICA,Origen_ESPAÑA,Origen_MEXICO,Origen_PAKISTAN,Origen_PANAMA,Origen_TURQUIA,Origen_USA,Origen_VIETNAM DEL NORTE
87,GANDUFRESH SAC,ESPAÑA,1,0,1185.82,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
88,EGLO PERU SAC,ALEMANIA,1,0,3775.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89,IMPORTACIONES MIRALDI SA,CHINA,0,1,8550.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
90,OMP SERVICIOS & CONTRATISTAS GENERALES,CHINA,0,1,8370.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
91,IMPORTACIONES MIRALDI SA,CHINA,0,1,8100.0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
92,PROCABLES SA,CHILE,2,0,5145.0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
93,PROCABLES SA,CHILE,1,0,2595.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
94,IMPORTACIONES MIRALDI SA,CHINA,0,2,17300.0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
95,HAMI IMPORTACIONES SRL,CHINA,0,1,10235.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
96,SOLUCENTER PERU SAC,CHINA,1,0,8415.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
97,SEIN SRL,CHINA,0,1,11250.0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
98,HYDRA INDUSTRIA Y COMERCIO SA,CHINA,1,0,7600.0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
99,MEGATIRE DEL PERU EIRL,CHINA,0,1,10300.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100,MEGALLANTAS TRUJILLO EIRL,CHINA,0,1,10300.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
101,MEGALLANTAS TRUJILLO EIRL,CHINA,0,1,10300.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
102,IMPORTACIONES MIRALDI SA,CHINA,0,1,10800.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
103,FERVAL BABY CARE SAC,PANAMA,0,1,1550.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
104,AGROTEC ALDAIR SAC,CHINA,0,1,9800.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
105,INVERIEGOS Y TECNOLOGIA SAC,TURQUIA,0,1,6000.0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
106,TOTAL PERU SA,CHILE,0,2,4700.0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
107,SEIN SRL,CHINA,0,1,11250.0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
108,TSK ELECTRONICA Y ELECTRICIDAD SA,ESPAÑA,0,1,5331.0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
109,MICHELL Y CIA SA,PANAMA,1,0,223.82,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
110,CREDITEX SAA,PANAMA,0,0,115.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
111,QSI PERU SA,PANAMA,0,0,620.56,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
112,INTERPAINTS SAC,CHILE,1,0,2900.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
113,INTERPAINTS SAC,CHILE,1,0,2900.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
114,GRILLCORP INTERNATIONAL SA,CHINA,0,1,10800.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
115,INCA TOPS SA,PANAMA,1,0,876.55,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
116,MICHELL Y CIA SA,PANAMA,0,0,1162.48,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
117,ASESORIA COMERCIAL SA,CHINA,1,0,10990.0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
118,TSK ELECTRONICA Y ELECTRICIDAD SA,ESPAÑA,0,1,3770.9,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
119,IMPORTACIONES MIRALDI SA,CHINA,0,1,10800.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120,FERVAL BABY CARE SAC,PANAMA,0,1,1700.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
121,TOTAL PERU SA,CHILE,0,3,7050.0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
122,SEIN SRL,CHINA,4,0,38600.0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
123,IMPORTADORA INDUSTRIAL GALLEGOS SAC,CHINA,1,0,9450.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
124,TOTAL PERU SA,CHILE,0,4,17400.0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0
125,CORPORACION PERUANA DE PRODUCTOS QUIMICOS SA,MEXICO,1,0,651.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
126,TOTAL PERU SA,CHILE,0,6,26100.0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0
127,DISTRIBUCIONES Y REPRESENTACIONES LIMATAMBO SRL,CHINA,0,2,21409.0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
128,HIPERMERCADOS TOTTUS SA,CHINA,0,6,77400.0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
129,CORPORACION PERUANA DE PRODUCTOS QUIMICOS SA,USA,1,0,1920.0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
130,GAMATRACTOR PERU SA,CHINA,1,0,8650.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
131,TOTAL PERU SA,CHILE,0,1,4650.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
132,TOTAL PERU SA,CHILE,0,1,4650.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
133,MINERA AURIFERA RETAMAS SA,CHILE,0,2,15100.0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
134,AMERICAN FORLED IMPORT EIRL,CHINA,0,1,9150.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
135,IMPORTACIONES MIRALDI SA,CHINA,0,1,10900.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
136,PRODUCTOS DE FIBRA DE VIDRIO JA SA,CHINA,1,0,9700.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
137,HIPERMERCADOS TOTTUS SA,CHINA,0,13,169725.0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
138,HIPERMERCADOS TOTTUS SA,CHINA,0,13,169651.0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
139,WING KON EIRL,CHINA,0,1,12279.0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
140,WING KON EIRL,CHINA,0,1,12279.0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
141,MINERA AURIFERA RETAMAS SA,CHILE,0,1,7950.0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
142,EGLO PERU SAC,CHINA,0,1,14515.0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
143,FERVAL BABY CARE SAC,PANAMA,0,1,1950.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
144,CORPORACION PERUANA DE PRODUCTOS QUIMICOS SA,USA,1,0,2081.0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
145,COMERCIAL DRILLING SERVICES SAC,CHINA,0,4,37425.0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
146,RAMOS HALANOCA VERONICA RUTH,CHINA,0,3,34160.0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
147,HIPERMERCADOS TOTTUS SA,CHINA,0,3,46500.0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
148,GENESAL ENERGY PERU SAC,ESPAÑA,1,0,4736.72,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
149,FIBERLUX SAC,CHINA,0,1,1519.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
150,ANDAX TECHNOLOGY SA,CHINA,0,0,3481.29,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
151,HAYEX TECHNOLOGY SAC,CHINA,0,0,860.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
152,ANDAX TECHNOLOGY SA,CHINA,0,0,2577.72,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
153,SANTILLAN ROJAS GINA YANELI,CHINA,0,0,960.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
154,YB VALDIVIA'S SA,CHINA,0,0,750.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
155,CHARTER LINK LOGISTICS PERU SA,CHINA,0,0,80.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
156,RETAIL PERUVIAN CORP SAC,CHINA,0,0,3821.0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
157,INVERS.INMOBILIARIAS BIENES RAICES NUEVO HORIZONTE,CHINA,0,1,16600.0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
158,SEIN SRL,CHINA,4,0,41200.0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
159,TANQUE SAFETY COMPANY SAC,CHINA,0,1,12355.0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
160,FERVAL BABY CARE SAC,PANAMA,0,1,1950.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
161,CREDITEX SAA,PANAMA,1,0,413.37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
162,QSI PERU SA,PANAMA,0,0,724.81,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
163,FUBBALL PERU SA,PANAMA,0,0,411.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
164,INDUSTRIAS TEXTILES DE SUD AMERICA SAC,PANAMA,0,0,158.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
165,HIPERMERCADOS TOTTUS SA,CHINA,0,2,34600.0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
166,SEIN SRL,CHINA,1,1,27500.0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
167,GRILLCORP INTERNATIONAL SA,CHINA,0,1,13850.0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
168,VALVERDE BEGAZO ALBAR JESUS,CHINA,0,2,22400.0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
169,IMPORTADORA DE MAQUINARIAS VASQUEZ SA,CHINA,0,1,12800.0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
